N2,latency5G,latency2.4G
50,0.007869244412871665,0.003218688871148515
49,0.007693844412874371,0.0034153333155691515
48,0.007526177746210107,0.0036049777599396118
47,0.007397666635100034,0.0037805333154484334
46,0.007248733301769579,0.003980155537697579
45,0.007098822190660306,0.0041569999821967525
44,0.0069125999684418035,0.004362533315468848
43,0.0067837777462216725,0.00454508887108272
42,0.006621733301778203,0.004728199982170163
41,0.006503866635113657,0.004930222204442587
40,0.006315222190671669,0.005129577760035803
39,0.006173444412896978,0.005308888871012268
38,0.0060433555240097,0.005495244426636219
38,0.006011488857344119,0.005505511093304939
38,0.0060398666351206345,0.005482977760037627
38,0.00600555552400985,0.005516599982175479
38,0.0060532666351202575,0.005504111093329543
38,0.006037066635120208,0.0055018666488305034
38,0.006012244412898235,0.005490288871033108
38,0.005988244412897973,0.00548906664887326
38,0.0059759777462331035,0.005513799982151159
38,0.006023666635121132,0.005493755537734266
38,0.006021822190676963,0.005497911093262738
38,0.0059962888573432665,0.005513199982144392
38,0.005996533301787511,0.005493288871109698
38,0.0060297999684536955,0.005491311093254893
38,0.0060057777462317295,0.005486555537732187
38,0.006014999968454466,0.005508044426609986
38,0.006064444412897577,0.005507177759970258
38,0.006010266635121063,0.005500733315482216
38,0.0060324444128975925,0.005517088871004988
38,0.0060280888573428565,0.005503355537787748
38,0.00603688885734309,0.005499822204327798
38,0.006001466635120989,0.00549599998225286
38,0.006028244412899023,0.005491933315601302
38,0.005987155524009783,0.005501822204399317
38,0.005994066635121147,0.005506111093327395
38,0.006003977746232257,0.005506422204453955
38,0.005981222190676785,0.005506577759942897
38,0.006025399968454206,0.005523488870966959
38,0.006004622190676143,0.005504133315543436
38,0.006003555524010065,0.005499355537696172
38,0.006064999968453117,0.005500088870957826
38,0.006017866635120311,0.005505688871111367
38,0.006018755524009421,0.005505533315483875
38,0.006003444412898687,0.0054951777599634094
38,0.005968799968454945,0.005498599982116886
38,0.006056533301786401,0.005505355537704477
38,0.006045755524009431,0.005498244426618387
38,0.006024711079565559,0.00550433331553908
