N1,N2,latency
38,38,0.006124266638879119
37,39,0.005959177750746077
36,40,0.005855177750957066
35,41,0.005863688862741798
34,41,0.0058077110852897225
33,42,0.005809933307275131
32,42,0.005818311085957256
31,42,0.005808733308776062
31,42,0.005832599974190116
31,42,0.00581248886265428
31,42,0.005808222196005579
31,42,0.005815955530344554
31,42,0.005830333307338446
31,42,0.0058209555293879806
31,42,0.005815244419000171
31,42,0.005813799973962461
31,42,0.005797866641442675
31,42,0.005838844419126467
31,42,0.0058327333080708255
31,42,0.005818955530633695
31,42,0.005835533307821293
31,42,0.005825488863270349
31,42,0.005833155529230382
31,42,0.0058308666412558215
31,42,0.005823066641573487
31,42,0.005825288863684451
31,42,0.005818844418709946
31,42,0.0058044888629379295
31,42,0.0058110888634353725
31,42,0.0058188444190639035
31,42,0.005799599973551478
31,42,0.005830155529075446
31,42,0.0058477110860167235
31,42,0.005826022198049433
31,42,0.005814555529959517
31,42,0.005803355529534899
31,42,0.005818488863051569
31,42,0.005823799975774667
31,42,0.005809822196171667
31,42,0.005811844418058477
31,42,0.005798711084983044
31,42,0.005843888862886188
31,42,0.005815266640797259
31,42,0.0058084221975734564
31,42,0.005803777752193608
31,42,0.005812577752470255
31,42,0.005816644419135574
31,42,0.005826688863273603
31,42,0.005814733308677632
31,42,0.005831377751813354
