37,43,0.005971977749441083
N1,N2,latency
36,43,0.005911399971966832
N1,N2,latency
36,47,0.005882933305846638
N1,N2,latency
38,45,0.006068688858835837
N1,N2,latency
38,44,0.006043955526327594
N1,N2,latency
36,44,0.005882422195838466
N1,N2,latency
34,41,0.005958044419550531
N1,N2,latency
35,41,0.005842688863810248
N1,N2,latency
33,38,0.005855644420902176
N1,N2,latency
34,44,0.005827133307621235
N1,N2,latency
35,42,0.005854066639027513
N1,N2,latency
35,43,0.005867511084356594
N1,N2,latency
34,40,0.005837399974236993
N1,N2,latency
34,39,0.0058480888644087655
N1,N2,latency
34,43,0.005840288863836282
N1,N2,latency
33,43,0.005827377752324486
N1,N2,latency
33,44,0.005819177751677265
N1,N2,latency
34,38,0.005883599974997982
N1,N2,latency
35,44,0.005862644416650163
N1,N2,latency
33,40,0.005831133308113065
N1,N2,latency
34,42,0.005843644418258897
N1,N2,latency
33,42,0.005821444419268479
N1,N2,latency
32,38,0.005840577753537675
N1,N2,latency
32,40,0.005832199974323257
N1,N2,latency
31,46,0.005828977753125528
N1,N2,latency
34,46,0.005836266642223544
N1,N2,latency
30,40,0.0058032221977289905
N1,N2,latency
33,39,0.005835444419406936
N1,N2,latency
32,41,0.005834799974435291
N1,N2,latency
32,44,0.005826733307839031
N1,N2,latency
31,43,0.005806488863202915
N1,N2,latency
32,45,0.005794911085653812
N1,N2,latency
31,42,0.005831333307585887
N1,N2,latency
31,41,0.005831377751173319
N1,N2,latency
35,40,0.005867311085737711
N1,N2,latency
31,45,0.005799444419285245
N1,N2,latency
30,45,0.005833355530617315
N1,N2,latency
34,47,0.005872555528866478
N1,N2,latency
33,47,0.005813266641143229
N1,N2,latency
30,46,0.005825022195812549
N1,N2,latency
35,45,0.005858799973589882
N1,N2,latency
31,40,0.005804577752824101
N1,N2,latency
32,46,0.005836933307619071
N1,N2,latency
32,43,0.005809911085698891
N1,N2,latency
33,45,0.005817244418641903
N1,N2,latency
33,41,0.005806733307548872
N1,N2,latency
32,39,0.005803999974538188
N1,N2,latency
31,44,0.005815088863311612
N1,N2,latency
34,45,0.005828866640449786
N1,N2,latency
35,47,0.005896199973177021
N1,N2,latency
33,46,0.00583226664096188
N1,N2,latency
35,46,0.005875022195827844
N1,N2,latency
30,42,0.005826155530919322
N1,N2,latency
29,42,0.0058089333072128095
N1,N2,latency
30,44,0.005819666641773539
N1,N2,latency
29,40,0.005821466642006167
N1,N2,latency
30,41,0.005825911086228907
N1,N2,latency
30,38,0.005874888865070541
N1,N2,latency
29,43,0.005815711086314099
N1,N2,latency
29,46,0.005810377753531839
N1,N2,latency
29,47,0.00580995552943461
N1,N2,latency
32,42,0.005830399974416566
N1,N2,latency
30,39,0.005826399975324095
N1,N2,latency
29,39,0.005846399975951701
N1,N2,latency
32,47,0.005838311085708556
N1,N2,latency
29,45,0.005822311085892413
N1,N2,latency
29,41,0.005821311085881089
N1,N2,latency
30,43,0.005814555530127376
N1,N2,latency
30,47,0.005826844419400459
N1,N2,latency
31,47,0.005806466641916694
N1,N2,latency
31,39,0.005841533308366758
N1,N2,latency
31,38,0.005859111087500221
N1,N2,latency
29,38,0.005841555531822996
N1,N2,latency
29,44,0.005842888863012237
N1,N2,latency
38,38,0.006232666666702353
N1,N2,latency
38,41,0.0060046666667045705
N1,N2,latency
38,44,0.005735333333371186
N1,N2,latency
37,40,0.006067333333370132
N1,N2,latency
38,47,0.006106000000036615
N1,N2,latency
37,47,0.00601200000003454
N1,N2,latency
36,42,0.005826666666698605
N1,N2,latency
38,39,0.006114666666700658
N1,N2,latency
37,39,0.00598733333336871
N1,N2,latency
38,45,0.006197333333369687
N1,N2,latency
