N1,N2,latency,probCh1,probCh2
38,38,0.006029333333369082,0.7333333333333333,0.26666666666666666
37,39,0.006120000000034869,0.16666666666666666,0.1
36,40,0.0059240000000329454,0.13333333333333333,0.23333333333333334
35,41,0.005742666666700305,0.0,0.2
34,41,0.005776000000033218,0.0,0.16666666666666666
33,41,0.005868666666700358,0.0,0.13333333333333333
32,41,0.005937333333366523,0.0,0.06666666666666667
31,41,0.0058106666666979424,0.0,0.03333333333333333
30,41,0.0057173333333659605,0.0,0.0
30,41,0.0058773333333662315,0.0,0.0
30,41,0.0057300000000340846,0.0,0.0
30,41,0.005957333333366808,0.03333333333333333,0.0
30,42,0.006067333333366781,0.0,0.03333333333333333
29,42,0.005838666666695923,0.03333333333333333,0.0
29,43,0.005815333333367443,0.0,0.0
29,43,0.005846000000034762,0.0,0.0
29,43,0.005881333333362073,0.0,0.03333333333333333
28,43,0.005664666666703455,0.0,0.0
28,43,0.005771333333365121,0.0,0.0
28,43,0.005711333333368697,0.0,0.0
28,43,0.0058820000000339885,0.0,0.0
28,43,0.0059393333333680794,0.0,0.03333333333333333
27,43,0.0058913333333645125,0.0,0.0
27,43,0.005804000000030649,0.0,0.0
27,43,0.0058406666667013924,0.0,0.0
27,43,0.005737333333366027,0.0,0.0
27,43,0.005894666666700601,0.0,0.0
27,43,0.00582066666669779,0.0,0.0
27,43,0.0058506666667019185,0.0,0.0
27,43,0.0058666666667015355,0.0,0.0
27,43,0.005820000000034938,0.0,0.0
27,43,0.005684666666700811,0.0,0.0
27,43,0.005832000000031167,0.0,0.0
27,43,0.00566733333336347,0.0,0.03333333333333333
26,43,0.005757333333368475,0.0,0.0
26,43,0.0058913333333660165,0.0,0.0
26,43,0.005788000000031031,0.0,0.0
26,43,0.0059386666667004895,0.0,0.0
26,43,0.00584200000003516,0.0,0.0
26,43,0.005874666666700516,0.0,0.0
26,43,0.005866666666696382,0.0,0.0
26,43,0.005770666666700302,0.0,0.0
26,43,0.005904000000034197,0.0,0.0
26,43,0.0059053333333636765,0.0,0.0
26,43,0.00578866666669879,0.0,0.0
26,43,0.005743333333369258,0.0,0.0
26,43,0.0058620000000354795,0.0,0.0
26,43,0.005814666666697701,0.0,0.0
26,43,0.005755333333364702,0.0,0.0
26,43,0.005873333333365484,0.0,0.0
