N2,latency5G,latency2.4G
50,0.007944000000038766,0.003268666666692252
49,0.007720666666705461,0.0034113333333590365
48,0.007474000000038613,0.0035526666666921077
47,0.007516666666705396,0.0037680000000254216
46,0.006946000000038491,0.004008666666692566
45,0.007156666666705138,0.004168000000025875
44,0.006863333333371817,0.004327333333359456
43,0.006815333333371807,0.004554666666692261
42,0.0066973333333715775,0.0047366666666929
41,0.0064160000000383615,0.004958000000025994
40,0.006090666666704769,0.00509066666669293
39,0.006158666666704688,0.005260666666692948
39,0.0061066666667048295,0.0052920000000262184
39,0.006278000000038279,0.0052266666666928585
38,0.0059733333333714216,0.005485333333359521
38,0.00618133333337148,0.005426666666693051
38,0.0059526666667046885,0.005613333333359608
38,0.006240000000038223,0.005513333333359284
38,0.006042666666704749,0.005568000000026496
38,0.006053333333371493,0.005542666666692882
38,0.006114000000038158,0.005492000000026304
38,0.006014000000038182,0.005476666666693012
38,0.005914666666704866,0.005504666666692809
38,0.006147333333371483,0.0055180000000261634
38,0.006034666666704738,0.005554000000026391
38,0.006048000000038062,0.0055420000000263115
38,0.005960666666704763,0.005451333333360005
38,0.006133333333371551,0.005527333333359535
38,0.005876000000038058,0.0054226666666929695
38,0.006190000000038322,0.005424666666693001
38,0.005984000000037923,0.005500666666693066
38,0.005847333333371319,0.0054986666666929414
38,0.0059633333333713266,0.005516666666692565
38,0.005984000000038031,0.005446000000026576
38,0.006032666666704852,0.005535333333359649
38,0.005944000000037991,0.005474666666692949
38,0.00608466666670485,0.005541333333359508
38,0.0060640000000381535,0.005544000000026214
38,0.006079333333371367,0.00545400000002611
38,0.005769333333371263,0.0054820000000261725
38,0.006150666666704733,0.0055126666666930465
38,0.006064000000038253,0.0054360000000263625
38,0.006120000000038103,0.005516000000026305
38,0.0059753333333713455,0.005547333333359354
38,0.006024666666704794,0.005452666666692796
38,0.005994666666704566,0.005529333333359725
38,0.00604133333337147,0.00548600000002677
38,0.0059800000000379844,0.005532666666693084
38,0.0060573333333715194,0.005445333333359359
38,0.006095333333371496,0.005535333333359623
