N1,N2,latency,probCh1,probCh2
38,38,0.00608977774945204,0.7511111111111111,0.24888888888888888
37,39,0.005958488860706227,0.15666666666666668,0.20222222222222222
36,40,0.005853088862256637,0.08333333333333333,0.19444444444444445
35,41,0.0058547555293945765,0.016666666666666666,0.18222222222222223
34,41,0.0058397110844676395,0.015555555555555555,0.12333333333333334
33,41,0.005826844418390956,0.017777777777777778,0.06555555555555556
32,41,0.005827222195995771,0.025555555555555557,0.035555555555555556
31,42,0.005810044418437246,0.0044444444444444444,0.011111111111111112
31,42,0.005826511085721414,0.0033333333333333335,0.006666666666666667
31,42,0.00582208886345453,0.005555555555555556,0.013333333333333334
31,42,0.005824755529474538,0.0022222222222222222,0.01
31,42,0.0058242221963908086,0.005555555555555556,0.013333333333333334
31,42,0.0058155999744622594,0.0044444444444444444,0.008888888888888889
31,42,0.005820622196182084,0.005555555555555556,0.01
31,42,0.00582642219706817,0.0022222222222222222,0.012222222222222223
31,42,0.005815666640423785,0.0044444444444444444,0.013333333333333334
31,42,0.005823266641850008,0.005555555555555556,0.0077777777777777776
31,42,0.005847088863715158,0.005555555555555556,0.015555555555555555
31,42,0.005834666641052097,0.008888888888888889,0.021111111111111112
30,42,0.005816911085451019,0.0077777777777777776,0.0044444444444444444
30,42,0.005824333307230646,0.006666666666666667,0.0044444444444444444
30,42,0.005812511086381369,0.0033333333333333335,0.0
30,42,0.005819266640509468,0.0044444444444444444,0.0044444444444444444
30,42,0.0058168888639950275,0.005555555555555556,0.006666666666666667
30,42,0.005794444419996603,0.01,0.005555555555555556
30,42,0.005817711085993629,0.0022222222222222222,0.0044444444444444444
30,42,0.005829288863915476,0.0022222222222222222,0.006666666666666667
30,42,0.005831155530348707,0.0,0.005555555555555556
30,42,0.005797355529533667,0.005555555555555556,0.0077777777777777776
30,42,0.005836022196426196,0.0011111111111111111,0.0077777777777777776
30,42,0.005809177752599243,0.0044444444444444444,0.0033333333333333335
30,42,0.005815288863825325,0.005555555555555556,0.0044444444444444444
30,42,0.005807444418677397,0.005555555555555556,0.0044444444444444444
30,42,0.005811133308219306,0.005555555555555556,0.0022222222222222222
30,42,0.005815355529899243,0.0011111111111111111,0.006666666666666667
30,42,0.005827044418274576,0.0,0.0033333333333333335
30,42,0.005810133308213087,0.0033333333333333335,0.008888888888888889
30,42,0.005806244418505086,0.008888888888888889,0.0022222222222222222
30,42,0.005795288862590839,0.0033333333333333335,0.0044444444444444444
30,42,0.005819777752357144,0.0033333333333333335,0.0077777777777777776
30,42,0.0058084666405825705,0.0022222222222222222,0.0077777777777777776
30,42,0.005820933308423932,0.0044444444444444444,0.006666666666666667
30,42,0.005808911085359447,0.006666666666666667,0.006666666666666667
30,42,0.0058287333082271435,0.0033333333333333335,0.005555555555555556
30,42,0.005827422196805165,0.01,0.005555555555555556
30,42,0.005823133306833555,0.005555555555555556,0.0033333333333333335
30,42,0.005803133308680145,0.006666666666666667,0.0
30,42,0.005840666640292211,0.0044444444444444444,0.0033333333333333335
30,42,0.0058167110857910076,0.0044444444444444444,0.0044444444444444444
30,42,0.005830599975262537,0.005555555555555556,0.0033333333333333335
